kappa,law,gamma_1,gamma_2,gamma_3,n,k,mae_k,sd_k
1,gaussian,2.0,1.6,1.3,250,1,0.0860140567461194,0.1037246665420835
1,gaussian,2.0,1.6,1.3,250,2,0.10703093789647236,0.11946519875473213
1,gaussian,2.0,1.6,1.3,250,3,0.1602258528964102,0.14692166917290242
1,gaussian,2.0,1.6,1.3,500,1,0.05985120274012131,0.07230543226304224
1,gaussian,2.0,1.6,1.3,500,2,0.06860416732547857,0.07982113792305533
1,gaussian,2.0,1.6,1.3,500,3,0.09939066742601274,0.11192354454078576
1,gaussian,2.0,1.6,1.3,750,1,0.046532905557928876,0.0581100440268494
1,gaussian,2.0,1.6,1.3,750,2,0.05568825777834193,0.06692240627347447
1,gaussian,2.0,1.6,1.3,750,3,0.07713796600349447,0.0941188403942361
1,gaussian,2.0,1.6,1.3,1000,1,0.04243750210556691,0.05185188554487244
1,gaussian,2.0,1.6,1.3,1000,2,0.05025773070777328,0.060082801940242285
1,gaussian,2.0,1.6,1.3,1000,3,0.06701319657055609,0.07991092099907345
1,rademacher,2.0,1.6,1.3,250,1,0.09094067822148029,0.10843330818648524
1,rademacher,2.0,1.6,1.3,250,2,0.1021195991102898,0.11240672506964977
1,rademacher,2.0,1.6,1.3,250,3,0.16081183797164017,0.14834031786333715
1,rademacher,2.0,1.6,1.3,500,1,0.06040496517301496,0.07386940377799943
1,rademacher,2.0,1.6,1.3,500,2,0.06979766995365867,0.08295940827045284
1,rademacher,2.0,1.6,1.3,500,3,0.10452812910243826,0.11352272928147289
1,rademacher,2.0,1.6,1.3,750,1,0.04948781661406396,0.06088479975179689
1,rademacher,2.0,1.6,1.3,750,2,0.05500787710722165,0.06594914205759193
1,rademacher,2.0,1.6,1.3,750,3,0.07886667452516678,0.09200783143211799
1,rademacher,2.0,1.6,1.3,1000,1,0.0407740341561539,0.05124966065562215
1,rademacher,2.0,1.6,1.3,1000,2,0.04800104911039591,0.0564994285832266
1,rademacher,2.0,1.6,1.3,1000,3,0.061372916996564775,0.07814278649611532
4,gaussian,2.0,1.6,1.3,250,1,0.1533550151670528,0.18947016797811564
4,gaussian,2.0,1.6,1.3,250,2,0.18070138296125426,0.2096744256776833
4,gaussian,2.0,1.6,1.3,250,3,0.26527190997340633,0.24741284667458188
4,gaussian,2.0,1.6,1.3,500,1,0.10655872301149653,0.13413444729158078
4,gaussian,2.0,1.6,1.3,500,2,0.11827669126418257,0.14298453203976
4,gaussian,2.0,1.6,1.3,500,3,0.1934430776366804,0.20576763896684827
4,gaussian,2.0,1.6,1.3,750,1,0.0893018701749154,0.11234616112742303
4,gaussian,2.0,1.6,1.3,750,2,0.10111912013962603,0.12244229916437849
4,gaussian,2.0,1.6,1.3,750,3,0.14146094506677076,0.1650792298190864
4,gaussian,2.0,1.6,1.3,1000,1,0.07621100065784939,0.09460445722877232
4,gaussian,2.0,1.6,1.3,1000,2,0.08747671116423596,0.106116111905401
4,gaussian,2.0,1.6,1.3,1000,3,0.12030963325343784,0.14096522675557374
4,rademacher,2.0,1.6,1.3,250,1,0.14601620818276978,0.17884533354556
4,rademacher,2.0,1.6,1.3,250,2,0.1660892606377234,0.19471845390580123
4,rademacher,2.0,1.6,1.3,250,3,0.26573314347111504,0.24959403427351648
4,rademacher,2.0,1.6,1.3,500,1,0.10506479413348845,0.13295690059587476
4,rademacher,2.0,1.6,1.3,500,2,0.12316682172852629,0.14820506829308677
4,rademacher,2.0,1.6,1.3,500,3,0.19310566731881632,0.20790570693839006
4,rademacher,2.0,1.6,1.3,750,1,0.08602535758028634,0.10713380179844761
4,rademacher,2.0,1.6,1.3,750,2,0.09691305703076777,0.12039199633101862
4,rademacher,2.0,1.6,1.3,750,3,0.15162146602569854,0.17637831371376822
4,rademacher,2.0,1.6,1.3,1000,1,0.07989591279346006,0.1002580489210284
4,rademacher,2.0,1.6,1.3,1000,2,0.08857381099546915,0.10903069184580115
4,rademacher,2.0,1.6,1.3,1000,3,0.11642931519380804,0.14145753547322018
1,gaussian,2.0,1.5,1.5,250,1,0.0853515733494426,0.10134799224017065
1,gaussian,2.0,1.5,1.5,250,2,0.08362769154742607,0.10276022716277858
1,gaussian,2.0,1.5,1.5,250,3,0.2302060022667439,0.13910090545393017
1,gaussian,2.0,1.5,1.5,500,1,0.05803995660454361,0.07098863415011424
1,gaussian,2.0,1.5,1.5,500,2,0.06254139557895447,0.07230856854139465
1,gaussian,2.0,1.5,1.5,500,3,0.12713107610704066,0.08246338677317225
1,gaussian,2.0,1.5,1.5,750,1,0.04818480808003088,0.05885458805250272
1,gaussian,2.0,1.5,1.5,750,2,0.05345015827928688,0.058126043971133676
1,gaussian,2.0,1.5,1.5,750,3,0.09772164070411726,0.06307515073509208
1,gaussian,2.0,1.5,1.5,1000,1,0.040399194610512786,0.05060585166806405
1,gaussian,2.0,1.5,1.5,1000,2,0.051471850324652776,0.05274844389549123
1,gaussian,2.0,1.5,1.5,1000,3,0.08356805745211962,0.05781198761851268
1,rademacher,2.0,1.5,1.5,250,1,0.09056890650651243,0.10824062079436489
1,rademacher,2.0,1.5,1.5,250,2,0.07720432281409961,0.09277652410619414
1,rademacher,2.0,1.5,1.5,250,3,0.218793981505524,0.13310459489382873
1,rademacher,2.0,1.5,1.5,500,1,0.059446948631783174,0.07332585475755839
1,rademacher,2.0,1.5,1.5,500,2,0.06109035267506839,0.0688460885513821
1,rademacher,2.0,1.5,1.5,500,3,0.1238747609905198,0.08160964501652494
1,rademacher,2.0,1.5,1.5,750,1,0.04730114703086693,0.05884132932548994
1,rademacher,2.0,1.5,1.5,750,2,0.050135345619374654,0.054042612366530296
1,rademacher,2.0,1.5,1.5,750,3,0.0987992131300549,0.06615914749217595
1,rademacher,2.0,1.5,1.5,1000,1,0.04034843235370084,0.04988233271290752
1,rademacher,2.0,1.5,1.5,1000,2,0.047481394897594585,0.049237087202640036
1,rademacher,2.0,1.5,1.5,1000,3,0.07805074037676366,0.054672721777408395
4,gaussian,2.0,1.5,1.5,250,1,0.1550574298127301,0.18769993027815599
4,gaussian,2.0,1.5,1.5,250,2,0.14938717274535285,0.18033565627629194
4,gaussian,2.0,1.5,1.5,250,3,0.38484995767281144,0.24049084528092618
4,gaussian,2.0,1.5,1.5,500,1,0.11514783340668149,0.14372439490067693
4,gaussian,2.0,1.5,1.5,500,2,0.11352615699430342,0.12724727096416366
4,gaussian,2.0,1.5,1.5,500,3,0.2437962018887003,0.16528020983982133
4,gaussian,2.0,1.5,1.5,750,1,0.09196022637229728,0.11302196044471835
4,gaussian,2.0,1.5,1.5,750,2,0.09785248915046141,0.10801961247727011
4,gaussian,2.0,1.5,1.5,750,3,0.18546142350419798,0.1258837579948309
4,gaussian,2.0,1.5,1.5,1000,1,0.07533594056863528,0.0940489154836614
4,gaussian,2.0,1.5,1.5,1000,2,0.0892932989528393,0.09468214179436363
4,gaussian,2.0,1.5,1.5,1000,3,0.14686017694506362,0.10103557641004457
4,rademacher,2.0,1.5,1.5,250,1,0.15514838146554696,0.18701539297543093
4,rademacher,2.0,1.5,1.5,250,2,0.15056184609206777,0.1824617935270462
4,rademacher,2.0,1.5,1.5,250,3,0.4022766136563368,0.25061711971791867
4,rademacher,2.0,1.5,1.5,500,1,0.10574790961348457,0.13448136854603454
4,rademacher,2.0,1.5,1.5,500,2,0.12174471534694326,0.13530956247331
4,rademacher,2.0,1.5,1.5,500,3,0.2460636201951587,0.17043739193074295
4,rademacher,2.0,1.5,1.5,750,1,0.08894140626959292,0.11184770967603788
4,rademacher,2.0,1.5,1.5,750,2,0.09740199195920128,0.1068563428429724
4,rademacher,2.0,1.5,1.5,750,3,0.1818608522471812,0.1264217912524453
4,rademacher,2.0,1.5,1.5,1000,1,0.07358636678623721,0.09071860811955582
4,rademacher,2.0,1.5,1.5,1000,2,0.09064327614398061,0.0878435272159016
4,rademacher,2.0,1.5,1.5,1000,3,0.13852334869019506,0.09814529820363099
