n,kappa,law,gamma,strength,replication,method,estimate
1000,1,gaussian,1.5,2.1213203435596393,1,Algorithm 1,2.178452103176693
1000,1,gaussian,1.5,2.1213203435596393,1,BGS25,2.1429843398097006
1000,1,gaussian,1.5,2.1213203435596393,1,BGN11,2.1429292446555572
1000,1,gaussian,1.5,2.1213203435596393,2,Algorithm 1,2.05745954305269
1000,1,gaussian,1.5,2.1213203435596393,2,BGS25,2.0608080167338723
1000,1,gaussian,1.5,2.1213203435596393,2,BGN11,2.0625587443169975
1000,1,gaussian,1.5,2.1213203435596393,3,Algorithm 1,2.201309808448097
1000,1,gaussian,1.5,2.1213203435596393,3,BGS25,2.1716650104824433
1000,1,gaussian,1.5,2.1213203435596393,3,BGN11,2.171231341047374
1000,1,gaussian,1.5,2.1213203435596393,4,Algorithm 1,2.0711836474000944
1000,1,gaussian,1.5,2.1213203435596393,4,BGS25,2.0140523106635952
1000,1,gaussian,1.5,2.1213203435596393,4,BGN11,2.0149640021065247
1000,1,gaussian,1.5,2.1213203435596393,5,Algorithm 1,2.08419208404529
1000,1,gaussian,1.5,2.1213203435596393,5,BGS25,2.0539174248488306
1000,1,gaussian,1.5,2.1213203435596393,5,BGN11,2.0535915247024357
1000,1,gaussian,1.5,2.1213203435596393,6,Algorithm 1,2.1863155559811664
1000,1,gaussian,1.5,2.1213203435596393,6,BGS25,2.202464357349356
1000,1,gaussian,1.5,2.1213203435596393,6,BGN11,2.2014222477895875
1000,1,gaussian,1.5,2.1213203435596393,7,Algorithm 1,2.0543523579113927
1000,1,gaussian,1.5,2.1213203435596393,7,BGS25,2.0474855745825686
1000,1,gaussian,1.5,2.1213203435596393,7,BGN11,2.0496975557219805
1000,1,gaussian,1.5,2.1213203435596393,8,Algorithm 1,2.079953149158508
1000,1,gaussian,1.5,2.1213203435596393,8,BGS25,2.1193683112994717
1000,1,gaussian,1.5,2.1213203435596393,8,BGN11,2.1201078131845406
1000,1,gaussian,1.5,2.1213203435596393,9,Algorithm 1,2.1306147350400635
1000,1,gaussian,1.5,2.1213203435596393,9,BGS25,2.1069591081342085
1000,1,gaussian,1.5,2.1213203435596393,9,BGN11,2.110416825174811
1000,1,gaussian,1.5,2.1213203435596393,10,Algorithm 1,2.0679528214613163
1000,1,gaussian,1.5,2.1213203435596393,10,BGS25,2.03712471070345
1000,1,gaussian,1.5,2.1213203435596393,10,BGN11,2.0399881031195526
1000,1,gaussian,1.5,2.1213203435596393,11,Algorithm 1,2.095069026758273
1000,1,gaussian,1.5,2.1213203435596393,11,BGS25,2.1166684525880792
1000,1,gaussian,1.5,2.1213203435596393,11,BGN11,2.1157400292226156
1000,1,gaussian,1.5,2.1213203435596393,12,Algorithm 1,2.1015342506903987
1000,1,gaussian,1.5,2.1213203435596393,12,BGS25,2.1424949980554637
1000,1,gaussian,1.5,2.1213203435596393,12,BGN11,2.1416593587761232
1000,1,gaussian,1.5,2.1213203435596393,13,Algorithm 1,2.1658526460080454
1000,1,gaussian,1.5,2.1213203435596393,13,BGS25,2.1088272349551014
1000,1,gaussian,1.5,2.1213203435596393,13,BGN11,2.108819253232389
1000,1,gaussian,1.5,2.1213203435596393,14,Algorithm 1,2.125345201713981
1000,1,gaussian,1.5,2.1213203435596393,14,BGS25,2.1114443161411165
1000,1,gaussian,1.5,2.1213203435596393,14,BGN11,2.1175526324986262
1000,1,gaussian,1.5,2.1213203435596393,15,Algorithm 1,2.0816235984319102
1000,1,gaussian,1.5,2.1213203435596393,15,BGS25,2.0892023274899185
1000,1,gaussian,1.5,2.1213203435596393,15,BGN11,2.0902374294045516
1000,1,gaussian,1.5,2.1213203435596393,16,Algorithm 1,2.006108633807115
1000,1,gaussian,1.5,2.1213203435596393,16,BGS25,1.981262743069387
1000,1,gaussian,1.5,2.1213203435596393,16,BGN11,1.9840274156555113
1000,1,gaussian,1.5,2.1213203435596393,17,Algorithm 1,2.152373890234758
1000,1,gaussian,1.5,2.1213203435596393,17,BGS25,2.1557997942190448
1000,1,gaussian,1.5,2.1213203435596393,17,BGN11,2.155447251793885
1000,1,gaussian,1.5,2.1213203435596393,18,Algorithm 1,2.157282710272964
1000,1,gaussian,1.5,2.1213203435596393,18,BGS25,2.166006888495845
1000,1,gaussian,1.5,2.1213203435596393,18,BGN11,2.1650891041592106
1000,1,gaussian,1.5,2.1213203435596393,19,Algorithm 1,2.05544714741058
1000,1,gaussian,1.5,2.1213203435596393,19,BGS25,2.027915298326265
1000,1,gaussian,1.5,2.1213203435596393,19,BGN11,2.0248999444194045
1000,1,gaussian,1.5,2.1213203435596393,20,Algorithm 1,2.044030579057066
1000,1,gaussian,1.5,2.1213203435596393,20,BGS25,2.107771280107932
1000,1,gaussian,1.5,2.1213203435596393,20,BGN11,2.1083202224579725
1000,1,gaussian,1.5,2.1213203435596393,21,Algorithm 1,2.1111739048688762
