kappa_1,kappa_2,law,n,rho,rho_sig,mean_orbit_error,mean_signal_correlation_error
1,1,gaussian,250,0.25,0.05101971341443777,0.03968819005326618,0.005107826717792565
1,1,gaussian,250,0.6,0.29387354926716147,0.04945429219640652,0.011879918093239863
1,1,gaussian,250,0.9,0.6612154858511136,0.06578648610582886,0.025168749690592376
1,1,gaussian,500,0.25,0.05101971341443777,0.027031146743172578,0.0036219990180172156
1,1,gaussian,500,0.6,0.29387354926716147,0.0336664836499009,0.007734838097893047
1,1,gaussian,500,0.9,0.6612154858511136,0.04375655958619641,0.013122813027498145
1,1,gaussian,750,0.25,0.05101971341443777,0.020581884086118152,0.0028819224424032268
1,1,gaussian,750,0.6,0.29387354926716147,0.027251924813180565,0.006135809271776741
1,1,gaussian,750,0.9,0.6612154858511136,0.03467999263740287,0.01019945230500445
1,1,gaussian,1000,0.25,0.05101971341443777,0.017675142397258935,0.0025074310456064497
1,1,gaussian,1000,0.6,0.29387354926716147,0.0227708128373935,0.00532098321335886
1,1,gaussian,1000,0.9,0.6612154858511136,0.030200236104186165,0.00778788825486989
1,1,rademacher,250,0.25,0.05101971341443777,0.04089033157279055,0.005409042243934882
1,1,rademacher,250,0.6,0.29387354926716147,0.04833080455609462,0.010959401257507065
1,1,rademacher,250,0.9,0.6612154858511136,0.06363276092877741,0.024634535903464674
1,1,rademacher,500,0.25,0.05101971341443777,0.026191637351539336,0.003712545973641557
1,1,rademacher,500,0.6,0.29387354926716147,0.034314476195218435,0.007948433626230418
1,1,rademacher,500,0.9,0.6612154858511136,0.04530841408685413,0.014295016847428224
1,1,rademacher,750,0.25,0.05101971341443777,0.020987488003754398,0.002965582489766817
1,1,rademacher,750,0.6,0.29387354926716147,0.027397558116722162,0.0063304958741919855
1,1,rademacher,750,0.9,0.6612154858511136,0.034699162748168366,0.009460515323875075
1,1,rademacher,1000,0.25,0.05101971341443777,0.018055879787598032,0.0025607473722114855
1,1,rademacher,1000,0.6,0.29387354926716147,0.02413701276763298,0.005593491362470364
1,1,rademacher,1000,0.9,0.6612154858511136,0.030728205901676024,0.00771389781636805
1,4,gaussian,250,0.25,0.05101971341443777,0.05833197008366059,0.0077117914819041945
1,4,gaussian,250,0.6,0.29387354926716147,0.0708439578537116,0.017141620152047395
1,4,gaussian,250,0.9,0.6612154858511136,0.08852438777330746,0.02860803272038291
1,4,gaussian,500,0.25,0.05101971341443777,0.04030700101182996,0.005328591077338308
1,4,gaussian,500,0.6,0.29387354926716147,0.048526340036307083,0.011829191285097346
1,4,gaussian,500,0.9,0.6612154858511136,0.061973168938979674,0.017316433915241184
1,4,gaussian,750,0.25,0.05101971341443777,0.03018072929744128,0.004192825208651827
1,4,gaussian,750,0.6,0.29387354926716147,0.039979019120895215,0.009565138359957568
1,4,gaussian,750,0.9,0.6612154858511136,0.04894519489724548,0.012651016079604272
1,4,gaussian,1000,0.25,0.05101971341443777,0.027540765938622577,0.003696361885497026
1,4,gaussian,1000,0.6,0.29387354926716147,0.03263389444965565,0.0074424193178259865
1,4,gaussian,1000,0.9,0.6612154858511136,0.0420831053454598,0.01075037673097453
1,4,rademacher,250,0.25,0.05101971341443777,0.05995288945813771,0.00810639795729194
1,4,rademacher,250,0.6,0.29387354926716147,0.07257871697477952,0.017207547503831095
1,4,rademacher,250,0.9,0.6612154858511136,0.0865477731237071,0.03008183341224567
1,4,rademacher,500,0.25,0.05101971341443777,0.04033386688745822,0.005527678879544072
1,4,rademacher,500,0.6,0.29387354926716147,0.04929787923366012,0.011717206829666997
1,4,rademacher,500,0.9,0.6612154858511136,0.05696700261462156,0.017408187178275084
1,4,rademacher,750,0.25,0.05101971341443777,0.03113087618169921,0.004352203689908415
