kappa,law,gamma_1,gamma_2,gamma_3,n,p,k,mae_k,sd_k
1,gaussian,2.0,1.6,1.3,250,150,1,0.0734996632481304,0.07221557486863767
1,gaussian,2.0,1.6,1.3,250,150,2,0.09376640039535514,0.09509076818592875
1,gaussian,2.0,1.6,1.3,250,150,3,0.1244454244435126,0.12484415287915948
1,gaussian,2.0,1.6,1.3,500,300,1,0.04868049433424907,0.05462114883587685
1,gaussian,2.0,1.6,1.3,500,300,2,0.05934692094629999,0.06491274572660755
1,gaussian,2.0,1.6,1.3,500,300,3,0.07216173963926228,0.08763711467272854
1,gaussian,2.0,1.6,1.3,750,450,1,0.03858625921083336,0.045331949531303775
1,gaussian,2.0,1.6,1.3,750,450,2,0.04389144547963722,0.04812918432531384
1,gaussian,2.0,1.6,1.3,750,450,3,0.056147501609377204,0.06670115116829958
1,gaussian,2.0,1.6,1.3,1000,600,1,0.031094624892457113,0.03809346563671748
1,gaussian,2.0,1.6,1.3,1000,600,2,0.03742060874473094,0.042100740612479017
1,gaussian,2.0,1.6,1.3,1000,600,3,0.04474109408967108,0.05564810376891511
1,rademacher,2.0,1.6,1.3,250,150,1,0.07114985121765162,0.07441361198508742
1,rademacher,2.0,1.6,1.3,250,150,2,0.09434019828567351,0.09609997661643303
1,rademacher,2.0,1.6,1.3,250,150,3,0.12151550921275299,0.12397944088123847
1,rademacher,2.0,1.6,1.3,500,300,1,0.04792959748971661,0.05617022065161371
1,rademacher,2.0,1.6,1.3,500,300,2,0.055744907989825655,0.06191111281003861
1,rademacher,2.0,1.6,1.3,500,300,3,0.07219646102198164,0.07859258900741924
1,rademacher,2.0,1.6,1.3,750,450,1,0.03706008485354884,0.04251929565180041
1,rademacher,2.0,1.6,1.3,750,450,2,0.04466020552969309,0.04927661249859808
1,rademacher,2.0,1.6,1.3,750,450,3,0.05981504356608551,0.06927873183008702
1,rademacher,2.0,1.6,1.3,1000,600,1,0.03148423722464873,0.03841955302465343
1,rademacher,2.0,1.6,1.3,1000,600,2,0.03671767033277438,0.04235310982818033
1,rademacher,2.0,1.6,1.3,1000,600,3,0.044716092847558814,0.05197346445484619
4,gaussian,2.0,1.6,1.3,250,150,1,0.12755957048288477,0.14068404254280548
4,gaussian,2.0,1.6,1.3,250,150,2,0.1609800546985434,0.17018982152808268
4,gaussian,2.0,1.6,1.3,250,150,3,0.19620705366841842,0.2040880638262423
4,gaussian,2.0,1.6,1.3,500,300,1,0.08363313419932152,0.09899733213403117
4,gaussian,2.0,1.6,1.3,500,300,2,0.10489710730845908,0.1154306495205975
4,gaussian,2.0,1.6,1.3,500,300,3,0.12549118966838105,0.15297349866118637
4,gaussian,2.0,1.6,1.3,750,450,1,0.06788093424956161,0.080224025557229
4,gaussian,2.0,1.6,1.3,750,450,2,0.07967459202688365,0.09175879744191986
4,gaussian,2.0,1.6,1.3,750,450,3,0.10101270139555198,0.12233494847070073
4,gaussian,2.0,1.6,1.3,1000,600,1,0.0548250610440701,0.0663329729616078
4,gaussian,2.0,1.6,1.3,1000,600,2,0.06762324656100907,0.07893310805734166
4,gaussian,2.0,1.6,1.3,1000,600,3,0.08707306281772355,0.10759995938118648
4,rademacher,2.0,1.6,1.3,250,150,1,0.12950485268610273,0.1428442667405733
4,rademacher,2.0,1.6,1.3,250,150,2,0.1589495926117327,0.17503383609435472
4,rademacher,2.0,1.6,1.3,250,150,3,0.21426196605693065,0.21641443993671233
4,rademacher,2.0,1.6,1.3,500,300,1,0.08428174449845187,0.09870673766755297
4,rademacher,2.0,1.6,1.3,500,300,2,0.10442996303665804,0.11933113182011805
4,rademacher,2.0,1.6,1.3,500,300,3,0.12680950781054767,0.14836353337451313
4,rademacher,2.0,1.6,1.3,750,450,1,0.068128986915819,0.0789067816203673
4,rademacher,2.0,1.6,1.3,750,450,2,0.08082824131822429,0.09502021235732412
4,rademacher,2.0,1.6,1.3,750,450,3,0.10486317124989068,0.12275822726203646
4,rademacher,2.0,1.6,1.3,1000,600,1,0.058414040162072065,0.07224975439400212
4,rademacher,2.0,1.6,1.3,1000,600,2,0.06737763370533334,0.07991198002530293
4,rademacher,2.0,1.6,1.3,1000,600,3,0.0823827506691185,0.10253036079969707
1,gaussian,2.0,1.5,1.5,250,150,1,0.07100065592732413,0.07448017931745207
1,gaussian,2.0,1.5,1.5,250,150,2,0.07044251838000153,0.08510428118667575
1,gaussian,2.0,1.5,1.5,250,150,3,0.14412976139328906,0.10184718689474619
1,gaussian,2.0,1.5,1.5,500,300,1,0.04902783784731584,0.053944821475134866
1,gaussian,2.0,1.5,1.5,500,300,2,0.043799294163025915,0.05428815918620008
1,gaussian,2.0,1.5,1.5,500,300,3,0.08200525321794101,0.058661961892507705
1,gaussian,2.0,1.5,1.5,750,450,1,0.03786014761295447,0.044929350339303446
1,gaussian,2.0,1.5,1.5,750,450,2,0.03570089996646014,0.04454027843205413
1,gaussian,2.0,1.5,1.5,750,450,3,0.06368004228965174,0.048266002874078104
1,gaussian,2.0,1.5,1.5,1000,600,1,0.031324356015028684,0.03707069045165002
1,gaussian,2.0,1.5,1.5,1000,600,2,0.02994608280728978,0.03739273692339007
1,gaussian,2.0,1.5,1.5,1000,600,3,0.051759950963569896,0.0393214419031513
1,rademacher,2.0,1.5,1.5,250,150,1,0.07194283836337903,0.07388906138954512
1,rademacher,2.0,1.5,1.5,250,150,2,0.06519380911577119,0.07928872734502039
1,rademacher,2.0,1.5,1.5,250,150,3,0.14244550082073404,0.09824143773107406
1,rademacher,2.0,1.5,1.5,500,300,1,0.0506995636253145,0.05488972782750245
1,rademacher,2.0,1.5,1.5,500,300,2,0.044567008180159795,0.054757175066193285
1,rademacher,2.0,1.5,1.5,500,300,3,0.08396763359301232,0.06017140139886923
1,rademacher,2.0,1.5,1.5,750,450,1,0.03583811528820263,0.0419633333753175
1,rademacher,2.0,1.5,1.5,750,450,2,0.03526288570363944,0.04404344813823039
1,rademacher,2.0,1.5,1.5,750,450,3,0.05807826669759172,0.045579146416377544
1,rademacher,2.0,1.5,1.5,1000,600,1,0.03175530861783946,0.03618342037874348
1,rademacher,2.0,1.5,1.5,1000,600,2,0.030239241328388844,0.0378605090895464
1,rademacher,2.0,1.5,1.5,1000,600,3,0.050091796639665634,0.0402790011498905
4,gaussian,2.0,1.5,1.5,250,150,1,0.13681073769623098,0.15624217351121175
4,gaussian,2.0,1.5,1.5,250,150,2,0.11867931532706762,0.14502970216487565
4,gaussian,2.0,1.5,1.5,250,150,3,0.24648156159545612,0.18232889124917198
4,gaussian,2.0,1.5,1.5,500,300,1,0.084618514140174,0.09837965286672183
4,gaussian,2.0,1.5,1.5,500,300,2,0.08050391329776008,0.09980878175143168
4,gaussian,2.0,1.5,1.5,500,300,3,0.13843845080871794,0.10969232338873032
4,gaussian,2.0,1.5,1.5,750,450,1,0.06931032016189947,0.08259433140675544
4,gaussian,2.0,1.5,1.5,750,450,2,0.06608155055663076,0.08168899345428908
4,gaussian,2.0,1.5,1.5,750,450,3,0.09811617059569756,0.08921666627316066
4,gaussian,2.0,1.5,1.5,1000,600,1,0.058575163048747776,0.07121477559203362
4,gaussian,2.0,1.5,1.5,1000,600,2,0.060471114591768245,0.07325645145093966
4,gaussian,2.0,1.5,1.5,1000,600,3,0.08825945847005078,0.07379401667659714
4,rademacher,2.0,1.5,1.5,250,150,1,0.1292363454390793,0.1446700054341896
4,rademacher,2.0,1.5,1.5,250,150,2,0.12193721814782608,0.15080371486480376
4,rademacher,2.0,1.5,1.5,250,150,3,0.24542014172581905,0.1764513833400765
4,rademacher,2.0,1.5,1.5,500,300,1,0.08594023725494478,0.09739188175118756
4,rademacher,2.0,1.5,1.5,500,300,2,0.07738144664792318,0.09821603681884311
4,rademacher,2.0,1.5,1.5,500,300,3,0.15164614547794922,0.11498982495986926
4,rademacher,2.0,1.5,1.5,750,450,1,0.06673853142372328,0.08077981479463844
4,rademacher,2.0,1.5,1.5,750,450,2,0.0654825264136224,0.07954859613523091
4,rademacher,2.0,1.5,1.5,750,450,3,0.104852435623604,0.08663025947186852
4,rademacher,2.0,1.5,1.5,1000,600,1,0.057137793355070264,0.07044498606210023
4,rademacher,2.0,1.5,1.5,1000,600,2,0.05662449474728957,0.06683063358410202
4,rademacher,2.0,1.5,1.5,1000,600,3,0.09210806120180788,0.0760313320217211
