n,p,kappa,law,gamma,strength,replication,method,estimate
1000,600,1,gaussian,1.5,1.8669989318654328,1,Algorithm 3,1.8762890415299018
1000,600,1,gaussian,1.5,1.8669989318654328,1,SN13,1.8670912854002797
1000,600,1,gaussian,1.5,1.8669989318654328,1,OptShrink,1.8708689326100878
1000,600,1,gaussian,1.5,1.8669989318654328,2,Algorithm 3,1.8911727416416604
1000,600,1,gaussian,1.5,1.8669989318654328,2,SN13,1.9050872157238574
1000,600,1,gaussian,1.5,1.8669989318654328,2,OptShrink,1.9092877159981445
1000,600,1,gaussian,1.5,1.8669989318654328,3,Algorithm 3,1.8464050075789211
1000,600,1,gaussian,1.5,1.8669989318654328,3,SN13,1.8567371269006077
1000,600,1,gaussian,1.5,1.8669989318654328,3,OptShrink,1.86039871979198
1000,600,1,gaussian,1.5,1.8669989318654328,4,Algorithm 3,1.9338392156752962
1000,600,1,gaussian,1.5,1.8669989318654328,4,SN13,1.9023229591636055
1000,600,1,gaussian,1.5,1.8669989318654328,4,OptShrink,1.9054998114677515
1000,600,1,gaussian,1.5,1.8669989318654328,5,Algorithm 3,1.8966337440541938
1000,600,1,gaussian,1.5,1.8669989318654328,5,SN13,1.9126458413194922
1000,600,1,gaussian,1.5,1.8669989318654328,5,OptShrink,1.916658828653579
1000,600,1,gaussian,1.5,1.8669989318654328,6,Algorithm 3,1.856996724786694
1000,600,1,gaussian,1.5,1.8669989318654328,6,SN13,1.8779914948216483
1000,600,1,gaussian,1.5,1.8669989318654328,6,OptShrink,1.8818963971757958
1000,600,1,gaussian,1.5,1.8669989318654328,7,Algorithm 3,1.870243141251675
1000,600,1,gaussian,1.5,1.8669989318654328,7,SN13,1.846470995906533
1000,600,1,gaussian,1.5,1.8669989318654328,7,OptShrink,1.8505227051671733
1000,600,1,gaussian,1.5,1.8669989318654328,8,Algorithm 3,1.8501034199726407
1000,600,1,gaussian,1.5,1.8669989318654328,8,SN13,1.8566562778073827
1000,600,1,gaussian,1.5,1.8669989318654328,8,OptShrink,1.8602791547682065
1000,600,1,gaussian,1.5,1.8669989318654328,9,Algorithm 3,1.8957397622586871
1000,600,1,gaussian,1.5,1.8669989318654328,9,SN13,1.87292727585669
1000,600,1,gaussian,1.5,1.8669989318654328,9,OptShrink,1.8766179560353375
1000,600,1,gaussian,1.5,1.8669989318654328,10,Algorithm 3,1.8219908466182955
1000,600,1,gaussian,1.5,1.8669989318654328,10,SN13,1.8392280401273136
1000,600,1,gaussian,1.5,1.8669989318654328,10,OptShrink,1.8426455903067331
1000,600,1,gaussian,1.5,1.8669989318654328,11,Algorithm 3,1.8439493464387584
